2024.03.07 04:42:59 PM INFO | __name__ | 239 | make_choice | Function make_choice() called successfully
2024.03.07 04:43:32 PM INFO | __name__ | 239 | make_choice | Function make_choice() called successfully
2024.03.07 04:43:47 PM INFO | __name__ | 239 | make_choice | Function make_choice() called successfully
2024.03.07 04:43:55 PM INFO | __name__ | 239 | make_choice | Function make_choice() called successfully
2024.03.07 04:43:57 PM INFO | __name__ | 239 | make_choice | Function make_choice() called successfully
2024.03.07 04:43:58 PM INFO | __name__ | 239 | make_choice | Function make_choice() called successfully
2024.03.07 04:43:59 PM INFO | __name__ | 239 | make_choice | Function make_choice() called successfully
2024.03.07 05:16:12 PM INFO | __name__ | 164 | play | New game started.
2024.03.07 05:16:12 PM INFO | __name__ | 182 | firstRoll | Function roll() called successfully
2024.03.07 05:16:28 PM INFO | __name__ | 200 | firstRoll | Function make_choice() being called from roll() - roll1
2024.03.07 05:16:28 PM INFO | __name__ | 239 | make_choice | Function make_choice() called successfully
2024.03.07 05:16:33 PM INFO | __name__ | 239 | make_choice | Function make_choice() called successfully
2024.03.07 06:32:27 PM INFO | __name__ | 168 | play | New game started.
2024.03.07 06:32:27 PM INFO | __name__ | 186 | firstRoll | Function roll() called successfully
2024.03.07 06:32:32 PM INFO | __name__ | 204 | firstRoll | Function make_choice() being called from roll() - roll1
2024.03.07 06:32:32 PM INFO | __name__ | 243 | make_choice | Function make_choice() called successfully
2024.03.07 06:32:36 PM INFO | __name__ | 243 | make_choice | Function make_choice() called successfully
2024.03.16 05:16:34 AM INFO | __name__ | 171 | play | New game started.
2024.03.16 05:16:34 AM INFO | __name__ | 189 | firstRoll | Function roll() called successfully
2024.03.16 05:16:40 AM INFO | __name__ | 207 | firstRoll | Function make_choice() being called from roll() - roll1
2024.03.16 05:16:40 AM INFO | __name__ | 246 | make_choice | Function make_choice() called successfully
2024.03.16 05:16:50 AM INFO | __name__ | 287 | make_choice | Roll1 Discards: 
2024.03.16 05:16:50 AM INFO | __name__ | 291 | make_choice | Function make_choice() called successfully
2024.03.16 05:22:51 AM INFO | __name__ | 171 | play | New game started.
